date	cases
01/01/2021	4 736
01/02/2021	10 209
01/03/2021	7 135
01/04/2021	7 916
01/05/2021	7 220
01/06/2021	8 147
01/07/2021	8 342
01/08/2021	9 213
01/09/2021	8 664
01/10/2021	8 324
01/11/2021	6 845
01/12/2021	6 291
01/13/2021	6 858
01/14/2021	7 567
01/15/2021	6 812
01/16/2021	7 060
01/17/2021	6 880
01/18/2021	5 425
01/19/2021	4 685
01/20/2021	5 735
01/21/2021	5 950
01/22/2021	5 964
01/23/2021	5 651
01/24/2021	5 323
01/25/2021	4 627
01/26/2021	4 013
01/27/2021	4 205
01/28/2021	4 873
01/29/2021	4 697
01/30/2021	4 661
01/31/2021	4 395
